text,label
saturday class wee,1
"I have a VERY limited number of press seats available for a Meet Me There screening in Austin on January 21. Hit me up, press types.",0
"@user T-Mobile's CEO thinks the Apple Watch is going to be huge <-- I do, too.",0
I love cold winter days cause I never know when my car decides not to start 😑,1
This clinical psychology exam is gunna be the main cause of whatever mental disorder I develop,1
.@BDUTT is at her best when she reports frm 'on the field'. Not that she is bad at studio but on field she is a true story teller.,0
What a great person you are.,1
"@user Oh no, I've tipped Gamergates hand. Now you know our end game!",1
@user @user Ya cause their country is calm and peaceful from Everyone arming themselves,1
Reading a Victoria's Secret Fashion Show recap with a plate of French fries in front of me 🍟,1
.@Moz @user Woot woot! Whiteboard Friday's are my favorite Friday activity!,0
"Why is it so hard for people to cover their mouth when they cough?? Specially old people! Wtf, isn't it common curtesy? #coveryomouf #nasty",0
"@user People who commit crimes, resist cops, or attack cops are endangering their own lives. No respect for law or other people.",0
Love coming to school knowing I have tests all day,1
@user wow.. she really touched them with that tweet.,1
Gawd! I love 9am lectures and 4-6pm lectures.,1
My stomach is a Wonderland for gas inducing bacteria. #blessed,1
"Song of the Day: ""The Lights and Buzz"" - Jack's Mannequin.",0
Younger siblings are okay. But then they do this irritating thing where they wake you at 5:15 to open presents. And that's just awesome,1
@user I think I'm gonna check your music out later. Thanks☺,0
"May be cold tomorrow, December 28, 2014! A low of -7℃ - dress warm!",0
Love it when your typing at work and a spider comes out from the keyboard and hangs out between your fingers...  🙈,1
The last Twolves game I was jacked for was right after the lockout in 2011 vs. OKC (Rubio's 1st game)... I wonder if I when I will again?,0
@user looking forward to the time I have to traipse down the stairs to postie with a baby attached to my nipple! 😳,1
Currently writing about how I plan to stop procrastinating after leaving the paper untouched all day,1
The ugly truth... #abuse  #enough #words,0
Just ordered 10 new pairs of underwear from Victoria Secret 😍 #yay,0
@user A lot of ingredients. More specifically.... Like a lot a lot,0
"amazing how they are the one doing the ignoring, and think they are set free @user @user @user",0
Ideology in a nutshell - the meaning of life in a sentence for every perspective.,0
@user it's finally open XD I used a youtube video to help me :) Thanks very much ;),0
A whole day at NS w/clients. YAY.,1
"@user @user not playing out in the provinces like, oh, Mississippi.",1
MVP goes to Concordia Wifi.,1
I just love the NHS,1
