tweets,class
Oh goody they're gonna talk about #PlannedParenthood. That oughta be calm and reasonable. #GOPDebate,1.0
Don't you just love two faced people??,1.0
"Yeah, I totally haven't been listening to podcasts and play ing pokemon tcg online all day. XD @DansTokuRants @TheGRIDPR",1.0
The fact that surgery #4 was the one that made my shoulder worse just makes this day even better,1.0
Your really got me by throwing gum on my car haha let me go cry myself to sleep,1.0
Love reading your tweets. So informative. How can I not know your daily stats of people who followed/unfollowed you? @Nonda_SOADian,1.0
Wow first book is the bible. Let me go ahead and vote for trump because of that! #Trump,1.0
I'm so excited to go outside when I get off and crawl around to change my car tire,1.0
Hahahahah I sure know how to pick the right guys man go me,1.0
Im still reeling from the deaths of those 2 characters who only had 2 secs of screentime! #akamegakill,1.0
It's so refreshing seeing people smoke after they workout.,1.0
Trump May Be Running Out of Time for Third Party Bid http://t.co/0U8fARxC7q #politics,0.0
Democrats Think Hillary Clinton Is Their Best Shot To Win The White House http://t.co/MGD0IDA4x5 #politics,0.0
Watching Trump's speech but mainly cause there's a girl in the lower right corner of the TV screen who's kinda cute #politics,0.0
Every year it takes less time to fly across the ocean and more time to drive to work. - Joe Moore #quotes #humor #quote,0.0
Japanese Bookseller Buys Almost Every Copy Of Famous Author's New Book http://t.co/NDuPJHIYn5 #politics,0.0
"""I know better than you what is on the path before you, and I stand ready to help- every step of the way."" #JesusToday #peace",0.0
European stock markets are tumbling as they open http://t.co/zg7YMAXofS #news #phone #apple #mobile,0.0
I need to learn to fly so I don't need to rely on @Translink_NI stupid buses. Twice I've had to fork out on taxis :( #annoyed #late,0.0
@fox25gene amazon deliveries in one hour?. They obviously don't watch the Boston traffic reports.  #late,0.0
@Original_GESHBA please open a bottle of @WineryatBullRun. This class is looong #politics,0.0
@fox25gene amazon deliveries in one hour?. They obviously don't watch the Boston traffic reports.  #late,0.0
It's Looks Like ima have to Hop bak On My Twitter lol I Kinda Miss Yall #Late Nights,0.0
"Going to start using twitter!  Ekk,  I am so behind on the twitter train #late #makeupartist",0.0
@spoonter not sure what in your bar at home but definitely not taking a drink you made unless in front of me #drugs,0.0
Hi Seb Gale! Thanks for the #follow! Look forward to your #tweets! Have a great day! #peace,0.0
Just discovered @JamieLaing_UK happy hour before uni #late 😳,0.0
I just updated..tweet activity is interesting.. #impressions + #engagements #late,0.0
Trump is taking American politics back to the heydays of mudslinging even attacking members of his own party #GOP2016 #gopdebate,0.0
Watch Lady Gaga in Haunting New 'American Horror Story' Trailer: Lady Gaga's appearance in the trailer ... http://t.co/wXzzPXzhx8 #Peace,0.0
"On CP24 Live at 10-11:30: A stabbing at a Toronto school, possible changes to the taxi industry and cooler temps on the way. #News",0.0
During a drug test Paula Radcliffe was found to have 4 inch of crack in her knickers 😂😂 #doping #paularadcliffe #drugs #crack,0.0
"London busses are bullshit, 4 busses past me cause the were full. #late",0.0
Compare student achievement from various states with how much they spend per pupil. https://t.co/kSXpd4bq2P #LCUSD #CommonCore #education,0.0
Within a span of 10 min my lit. professor compared life to a house fly and explained how McDonald's is controlling society. #how #drugs,0.0
My mom didn't like it when i explained to her what my deviant behavior class was about #drugs #murder #beasteality,0.0
"#Drugs ""continue to increase poison, organism/parts of organism will die. http://t.co/8lVnnLma4D  #KnowledgeIsPower!article.",0.0
Watch hella ppl NOT gonna b sleeping before the first day of school... like wtf? We all dont make sense #FirstDay #School #Late,0.0
Ive stayed home sober all weekend!!!! Yay #longweekend #friends #turnup #alcohol #drugs #party #yayayay,0.0
WHERE IS PEACE?  http://t.co/1uDlgj3Cmd  #peace,0.0
When u r in #drugs like @killthenoise u gunna love all kind of sounds!!,0.0
Ain't no money like dope money! @aartinagar1997 #drugs,0.0
"@HiHonorIndia seriously ""For the brave"" google will be releasing 6.0 and we will be getting 5.0.
#Late #honor6",0.0
Day 19. Wanting to kiss you passionately... ,
#late #CallTime yikes! Galle Rally,0.0
"Why is it that on a day when u need to be up early, the 'alarm clock dog' who wakes at 5.24am without fail decides to lie in til 6?? #late x",0.0
When you're running late so you take a cab and then get stuck in bumper to bumper traffic almost immediately. #late,0.0
Citizen: #APS board must take responsibility for hiring string of bad superintendents. @ABQJournal #education #abq,0.0
"I think that @GalwayHunter and @AdoringFlame are at Woodstock, listening to Jimy Hendrix. Cool! #groovy #peace",0.0
@KatiePavlich @local_onthe8 You are dropped to the early debate in the next cycle. Gives you an incentive to do well. #GOPDebate #GOP,0.0
"Thank-You @CNN for reorganizing a more meaningful, fair, and trustworthy debate criteria for the #GOPDebate this month #cnn #Carly2016",0.0
@ My Little Brother Football Game! He scored two points... #Late #Bulldogs #Exict,0.0
"Every day I wake up and I'm like today is the day, I'm purposely going to bed early tonight. Well, here we are. #late",0.0
Listening to Dr Dre brings out so many memories. #southcentral #stupidshit #drugs #alcohol,0.0
School traffic I have NOT missed you!! #late #slow #BackToSchool,0.0
Still waiting on #DavidGuetta :) #Ushuaia #Late,0.0
University of Texas moves statue of Confederate president Jefferson Davis http://t.co/ImGr11CNrc #News #Politics,0.0
Pfft even if Madrid and UTD missed the deadline they will let it go through no problem. Clubs are too big. #Politics #Bureaucracy,0.0
"#AurariaCampus . 10 min. to drive to campus from Arvada, 20 min. to get through a single traffic light into a parking lot. #late #killingit",0.0
@StagecoachEMid what the hell is going on with no 2 service. Publishing an alternate route then ignoring it is not cool #late #frustrated,0.0
Lost my phone  yesterday and still haven't found it. Turns out I'm kinda liking not having one. #peace,0.0
