tweets,class,result,resultPercentage
Love reading your tweets. So informative. How can I not know your daily stats of people who followed/unfollowed you? @Nonda_SOADian,1,0,0.1302722990512848
Wow first book is the bible. Let me go ahead and vote for trump because of that!,1,1,0.8644127249717712
I'm so excited to go outside when I get off and crawl around to change my car tire,1,1,0.8481945991516113
Hahahahah I sure know how to pick the right guys man go me,1,0,0.39704981446266174
Im still reeling from the deaths of those 2 characters who only had 2 secs of screentime!,1,0,0.11674001812934875
It's so refreshing seeing people smoke after they workout.,1,1,0.96159428358078
Trump May Be Running Out of Time for Third Party Bid http://t.co/0U8fARxC7q,0,0,0.25858014822006226
Democrats Think Hillary Clinton Is Their Best Shot To Win The White House http://t.co/MGD0IDA4x5,0,1,0.8646183609962463
Watching Trump's speech but mainly cause there's a girl in the lower right corner of the TV screen who's kinda cute,0,1,0.9410198926925659
Every year it takes less time to fly across the ocean and more time to drive to work. - Joe Moore,0,1,0.6160085797309875
Japanese Bookseller Buys Almost Every Copy Of Famous Author's New Book http://t.co/NDuPJHIYn5,0,1,0.8306750655174255
"""I know better than you what is on the path before you, and I stand ready to help- every step of the way.""",0,0,0.024081900715827942
European stock markets are tumbling as they open http://t.co/zg7YMAXofS,0,1,0.8729584813117981
I need to learn to fly so I don't need to rely on @Translink_NI stupid buses. Twice I've had to fork out on taxis :(,0,0,0.23092009127140045
@fox25gene amazon deliveries in one hour?. They obviously don't watch the Boston traffic reports. ,0,1,0.9814453721046448
@Original_GESHBA please open a bottle of @WineryatBullRun. This class is looong,0,0,0.08038411289453506
@fox25gene amazon deliveries in one hour?. They obviously don't watch the Boston traffic reports. ,0,1,0.9814453721046448
It's Looks Like ima have to Hop bak On My Twitter lol I Kinda Miss Yall Nights,0,0,0.05522441118955612
"Going to start using twitter!  Ekk,  I am so behind on the twitter train",0,1,0.8258321285247803
@spoonter not sure what in your bar at home but definitely not taking a drink you made unless in front of me,0,0,0.03886181861162186
Hi Seb Gale! Thanks for the Look forward to your Have a great day!,0,0,0.18490955233573914
Just discovered @JamieLaing_UK happy hour before uni 😳,0,0,0.3585706353187561
I just updated..tweet activity is interesting.. +,0,0,0.39142924547195435
Trump is taking American politics back to the heydays of mudslinging even attacking members of his own party,0,1,0.9347970485687256
Watch Lady Gaga in Haunting New 'American Horror Story' Trailer: Lady Gaga's appearance in the trailer ... http://t.co/wXzzPXzhx8,0,0,0.16487117111682892
"On CP24 Live at 10-11:30: A stabbing at a Toronto school, possible changes to the taxi industry and cooler temps on the way.",0,0,0.3758704960346222
During a drug test Paula Radcliffe was found to have 4 inch of crack in her knickers 😂😂,0,0,0.45948588848114014
"London busses are bullshit, 4 busses past me cause the were full.",0,1,0.8238721489906311
Compare student achievement from various states with how much they spend per pupil. https://t.co/kSXpd4bq2P,0,0,0.3400501012802124
Within a span of 10 min my lit. professor compared life to a house fly and explained how McDonald's is controlling society.,0,1,0.9297080636024475
My mom didn't like it when i explained to her what my deviant behavior class was about,0,1,0.7322600483894348
"#Drugs ""continue to increase poison, organism/parts of organism will die. http://t.co/8lVnnLma4D ",0,1,0.8389005661010742
Watch hella ppl NOT gonna b sleeping before the first day of school... like wtf? We all dont make sense,0,1,0.6239518523216248
Ive stayed home sober all weekend!!!! Yay,0,1,0.9479307532310486
WHERE IS PEACE?  http://t.co/1uDlgj3Cmd ,0,1,0.6200425624847412
When u r in like @killthenoise u gunna love all kind of sounds!!,0,0,0.173166885972023
Ain't no money like dope money! @aartinagar1997,0,0,0.15721994638442993
#late yikes! Galle Rally,0,0,0.0777730643749237
"Why is it that on a day when u need to be up early, the 'alarm clock dog' who wakes at 5.24am without fail decides to lie in til 6?? x",0,0,0.46073585748672485
When you're running late so you take a cab and then get stuck in bumper to bumper traffic almost immediately.,0,1,0.9234592914581299
Citizen: board must take responsibility for hiring string of bad superintendents. @ABQJournal,0,1,0.6223471760749817
"I think that @GalwayHunter and @AdoringFlame are at Woodstock, listening to Jimy Hendrix. Cool!",0,1,0.6419963240623474
@KatiePavlich @local_onthe8 You are dropped to the early debate in the next cycle. Gives you an incentive to do well.,0,0,0.2265739142894745
"Thank-You @CNN for reorganizing a more meaningful, fair, and trustworthy debate criteria for the this month",0,1,0.7877211570739746
@ My Little Brother Football Game! He scored two points...,0,0,0.21874935925006866
"Every day I wake up and I'm like today is the day, I'm purposely going to bed early tonight. Well, here we are.",0,0,0.43960729241371155
Listening to Dr Dre brings out so many memories.,0,1,0.5141027569770813
School traffic I have NOT missed you!!,0,0,0.42245256900787354
Still waiting on :),0,0,0.06056440249085426
University of Texas moves statue of Confederate president Jefferson Davis http://t.co/ImGr11CNrc,0,1,0.5915383100509644
Pfft even if Madrid and UTD missed the deadline they will let it go through no problem. Clubs are too big.,0,0,0.2108238935470581
"#AurariaCampus . 10 min. to drive to campus from Arvada, 20 min. to get through a single traffic light into a parking lot.",0,0,0.35952040553092957
@StagecoachEMid what the hell is going on with no 2 service. Publishing an alternate route then ignoring it is not cool,0,0,0.06306583434343338
Lost my phone  yesterday and still haven't found it. Turns out I'm kinda liking not having one.,0,0,0.2431267350912094
I don't know how I stay up so late and then wake up at 7:30...,0,0,0.22707891464233398
my brothers moving into the dorms today,0,1,0.5863097310066223
