text,label
@user Ha! I don't have haters. Just a few misguided souls who thought my mentions were a bulletin board for their issues. 
I love cold winter days cause I never know when my car decides not to start 😑,1
This clinical psychology exam is gunna be the main cause of whatever mental disorder I develop,1
What a great person you are.,1
It's gonna be a great day 😃,1
I have a VERY limited number of press seats available for a Meet Me There screening in Austin on January 21. Hit me up, press types.,0
@user T-Mobile's CEO thinks the Apple Watch is going to be huge <-- I do, too.,0
Now gonna enjoy this day with my babies!!✌️,0
@user Oh no, I've tipped Gamergates hand. Now you know our end game!,1
Cluck! RT @user Most transparent administration ever sends password-protected documents to Oversight.  #Gruber,1
@user @user Ya cause their country is calm and peaceful from Everyone arming themselves,1
.@user is at her best when she reports frm 'on the field'. Not that she is bad at studio but on field she is a true story teller.,0
Good morning hank its saturday im starving,0
.@user @user Woot woot! Whiteboard Friday's are my favorite Friday activity!,0
Love coming to school knowing I have tests all day,1
Have successfully avoided everything from season 4 - which I've not seen and there's an S5 one, in my timeline.  Thanks Indy!,1
Gawd! I love 9am lectures and 4-6pm lectures.,1
Why is it so hard for people to cover their mouth when they cough?? Specially old people! Wtf, isn't it common curtesy? #coveryomouf #nasty,0
My stomach is a Wonderland for gas inducing bacteria. #blessed,1
.@user Isn't it great how all those ppl have done a public mea culpa since that didn't happen?,1
@user People who commit crimes, resist cops, or attack cops are endangering their own lives. No respect for law or other people.,0
Younger siblings are okay. But then they do this irritating thing where they wake you at 5:15 to open presents. And that's just awesome,1
@user apricots pears and boozy Belgian goodness. A winter warmer.,0
"Song of the Day: ""The Lights and Buzz"" - Jack's Mannequin.,0"
Love it when your typing at work and a spider comes out from the keyboard and hangs out between your fingers...  🙈,1
@user I think I'm gonna check your music out later. Thanks☺,0
@user looking forward to the time I have to traipse down the stairs to postie with a baby attached to my nipple! 😳,1
Currently writing about how I plan to stop procrastinating after leaving the paper untouched all day,1
May be cold tomorrow, December 28, 2014! A low of -7℃ - dress warm!,0
The last Twolves game I was jacked for was right after the lockout in 2011 vs. OKC (Rubio's 1st game)... I wonder if I when I will again?,0
The ugly truth... #abuse  #enough #words,0
Just ordered 10 new pairs of underwear from Victoria Secret 😍 #yay,0
@user A lot of ingredients. More specifically.... Like a lot a lot,0
amazing how they are the one doing the ignoring, and think they are set free @user @user @user,0
